#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Sat Nov  8 15:27:08 2014

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       scanner_wrapper_map.ncd
#OUTPUT FILE:      scanner_wrapper_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AF29,,,RSVD_0,,,,,,,,,,,,
AF30,,,GND,,,,,,,,,,,,
AF31,scn_bvld_clt<0>,IOB,IO_L5N_SM4N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AF32,,IOBM,IO_L5P_SM4P_13,UNUSED,,13,,,,,,,,,
AF33,,,VCCO_13,,,13,,,,,2.50,,,,
AF34,scn_bvld_clt<9>,IOB,IO_L10P_CC_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AF35,scn_bvld_clt<24>,IOB,IO_L17N_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AF36,scn_bvld_clt<23>,IOB,IO_L17P_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AF37,scn_bvld_clt<11>,IOB,IO_L11P_CC_13,OUTPUT,LVCMOS25*,13,12,SLOW,,,,UNLOCATED,NO,NONE,
AF38,,,GND,,,,,,,,,,,,
AF39,,,GND,,,,,,,,,,,,
AF40,,,MGTAVCCPLL_113,,,,,,,,,,,,
AF41,,OPAD,MGTTXN1_113,UNUSED,,,,,,,,,,,
AF42,,IPAD,MGTRXP1_113,UNUSED,,,,,,,,,,,
AG1,,,GND,,,,,,,,,,,,
AG2,,OPAD,MGTTXP1_114,UNUSED,,,,,,,,,,,
AG3,,,MGTAVTTTX_114,,,,,,,,,,,,
AG4,,,GND,,,,,,,,,,,,
AG5,,,GND,,,,,,,,,,,,
AG6,dpt_id_scn<17>,IOB,IO_L7P_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AG7,,IOBM,IO_L9P_CC_14,UNUSED,,14,,,,,,,,,
AG8,,IOBM,IO_L10P_CC_14,UNUSED,,14,,,,,,,,,
AG9,dpt_id_scn<27>,IOB,IO_L8N_CC_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AG10,,,VCCO_14,,,14,,,,,2.50,,,,
AG11,dpt_bvld_scn<11>,IOB,IO_L2N_14,INPUT,LVCMOS25*,14,,,,NONE,,UNLOCATED,NO,NONE,
AG12,scn_id_clt<18>,IOB,IO_L0P_14,OUTPUT,LVCMOS25*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
AG13,scn_data_clt<220>,IOB,IO_L3N_30,OUTPUT,LVCMOS25*,30,12,SLOW,,,,UNLOCATED,NO,NONE,
AG14,,,RSVD,,,,,,,,,,,,
AG15,,,GND,,,,,,,,,,,,
AG16,,,TDI_0,,,,,,,,,,,,
AG17,,,GND,,,,,,,,,,,,
AG18,,,VCCINT,,,,,,,,1.0,,,,
AG19,,,GND,,,,,,,,,,,,
AG20,,,VCCINT,,,,,,,,1.0,,,,
AG21,,,GND,,,,,,,,,,,,
AG22,,,VCCINT,,,,,,,,1.0,,,,
AG23,,,GND,,,,,,,,,,,,
AG24,,,VCCINT,,,,,,,,1.0,,,,
AG25,,,GND,,,,,,,,,,,,
AG26,,,VCCINT,,,,,,,,1.0,,,,
AG27,,,GND,,,,,,,,,,,,
AG28,,,VCCAUX,,,,,,,,2.5,,,,
AG29,,,D_OUT_BUSY_0,,,,,,,,,,,,
AG30,,,VCCAUX,,,,,,,,2.5,,,,
AG31,dpt_dvld_scn,IOB,IO_L1N_SM7N_13,INPUT,LVCMOS25*,13,,,,NONE,,UNLOCATED,NO,NONE,
